"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"CRchum2020","Salmon, chum (Columbia River ESU)","Chum salmon","Survey","Coast","115","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Fall","Grays River","2001","4742","0.895","-99","Washington Department of Fish and Wildlife","Mari Williams","Columbia River Chum Natural Origin Spawner Abundance Dataset (2005-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"CRchum2020","Salmon, chum (Columbia River ESU)","Chum salmon","Survey","Coast","115","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Fall","Grays River","2002","11713","0.896","-99","Washington Department of Fish and Wildlife","Mari Williams","Columbia River Chum Natural Origin Spawner Abundance Dataset (2005-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"CRchum2020","Salmon, chum (Columbia River ESU)","Chum salmon","Survey","Coast","115","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Fall","Grays River","2003","16669","0.933","-99","Washington Department of Fish and Wildlife","Mari Williams","Columbia River Chum Natural Origin Spawner Abundance Dataset (2005-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"CRchum2020","Salmon, chum (Columbia River ESU)","Chum salmon","Survey","Coast","115","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Fall","Grays River","2004","13716","0.959","-99","Washington Department of Fish and Wildlife","Mari Williams","Columbia River Chum Natural Origin Spawner Abundance Dataset (2005-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"CRchum2020","Salmon, chum (Columbia River ESU)","Chum salmon","Survey","Coast","115","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Fall","Grays River","2005","4204","0.903","-99","Washington Department of Fish and Wildlife","Mari Williams","Columbia River Chum Natural Origin Spawner Abundance Dataset (2005-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"CRchum2020","Salmon, chum (Columbia River ESU)","Chum salmon","Survey","Coast","115","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Fall","Grays River","2006","6605","0.933","-99","Washington Department of Fish and Wildlife","Mari Williams","Columbia River Chum Natural Origin Spawner Abundance Dataset (2005-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"CRchum2020","Salmon, chum (Columbia River ESU)","Chum salmon","Survey","Coast","115","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Fall","Grays River","2007","3999","0.955","-99","Washington Department of Fish and Wildlife","Mari Williams","Columbia River Chum Natural Origin Spawner Abundance Dataset (2005-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"CRchum2020","Salmon, chum (Columbia River ESU)","Chum salmon","Survey","Coast","115","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Fall","Grays River","2008","2608","0.921","-99","Washington Department of Fish and Wildlife","Mari Williams","Columbia River Chum Natural Origin Spawner Abundance Dataset (2005-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"CRchum2020","Salmon, chum (Columbia River ESU)","Chum salmon","Survey","Coast","115","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Fall","Grays River","2009","2876","0.965","-99","Washington Department of Fish and Wildlife","Mari Williams","Columbia River Chum Natural Origin Spawner Abundance Dataset (2005-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"CRchum2020","Salmon, chum (Columbia River ESU)","Chum salmon","Survey","Coast","115","Grays/Chinook Fall Chum","Grays & Chinook Rs.","1.1.1","Fall","Grays River","2010","6380","0.953","-99","Washington Department of Fish and Wildlife","Mari Williams","Columbia River Chum Natural Origin Spawner Abundance Dataset (2005-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
