"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1975","1000","1","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1976","470","1","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1977","600","1","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1978","640","1","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1979","500","1","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1980","450","1","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1981","340","1","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1982","720","1","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1983","532","0.805","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICSRFchinook2021","Salmon, Chinook (Snake River fall-run ESU)","Chinook salmon","Survey","","56","Snake River Lower Mainstem","Chinook","1","fall","Snake River","1984","618","0.524","","Nez Perce Tribe","Mari Williams","Snake River fall Chinook Natural Origin Spawner Abundance Dataset (1975-2019). Spawner abundance data. Nez Perce Tribe. Personal communication with Bill Young email 3172021 by Mari Williams, NOAAF NWFSC/PSMFC.",""
