"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1960","2371","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1961","1540","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1962","3056","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1963","1874","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1964","2771","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1965","3523","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1966","6718","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1967","3978","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1968","4663","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1969","3959","0.95","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1970","3026","0.93","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1971","1589","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"ICUCchinook2020","Salmon, Chinook (Upper Columbia River spring-run ESU)","Chinook salmon","Survey","North Cascades","102","Wenatchee River","Wenatchee R.","1.1","","Wenatchee River","1972","2783","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Upper Columbia River Chinook Natural Origin Spawner Abundance Dataset (1960-2018). Spawner abundance data. Washington Department of Fish and Wildlife, and Confederated Tribes of the Colville Reservation. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
