"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"LCchinook2020","Salmon, Chinook (Lower Columbia River ESU)","Chinook salmon","Survey","Coast fall","8","Grays/Chinook Fall (Tule) Chinook","Grays & Chinook R.","1.1.1","Fall","Grays River","1964","92","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Chinook Natural Origin Spawner Abundance Dataset (1964-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCchinook2020","Salmon, Chinook (Lower Columbia River ESU)","Chinook salmon","Survey","Coast fall","8","Grays/Chinook Fall (Tule) Chinook","Grays & Chinook R.","1.1.1","Fall","Grays River","1965","136","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Chinook Natural Origin Spawner Abundance Dataset (1964-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCchinook2020","Salmon, Chinook (Lower Columbia River ESU)","Chinook salmon","Survey","Coast fall","8","Grays/Chinook Fall (Tule) Chinook","Grays & Chinook R.","1.1.1","Fall","Grays River","1966","127","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Chinook Natural Origin Spawner Abundance Dataset (1964-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCchinook2020","Salmon, Chinook (Lower Columbia River ESU)","Chinook salmon","Survey","Coast fall","8","Grays/Chinook Fall (Tule) Chinook","Grays & Chinook R.","1.1.1","Fall","Grays River","1967","137","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Chinook Natural Origin Spawner Abundance Dataset (1964-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCchinook2020","Salmon, Chinook (Lower Columbia River ESU)","Chinook salmon","Survey","Coast fall","8","Grays/Chinook Fall (Tule) Chinook","Grays & Chinook R.","1.1.1","Fall","Grays River","1968","338","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Chinook Natural Origin Spawner Abundance Dataset (1964-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCchinook2020","Salmon, Chinook (Lower Columbia River ESU)","Chinook salmon","Survey","Coast fall","8","Grays/Chinook Fall (Tule) Chinook","Grays & Chinook R.","1.1.1","Fall","Grays River","1969","129","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Chinook Natural Origin Spawner Abundance Dataset (1964-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCchinook2020","Salmon, Chinook (Lower Columbia River ESU)","Chinook salmon","Survey","Coast fall","8","Grays/Chinook Fall (Tule) Chinook","Grays & Chinook R.","1.1.1","Fall","Grays River","1970","359","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Chinook Natural Origin Spawner Abundance Dataset (1964-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCchinook2020","Salmon, Chinook (Lower Columbia River ESU)","Chinook salmon","Survey","Coast fall","8","Grays/Chinook Fall (Tule) Chinook","Grays & Chinook R.","1.1.1","Fall","Grays River","1971","622","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Chinook Natural Origin Spawner Abundance Dataset (1964-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCchinook2020","Salmon, Chinook (Lower Columbia River ESU)","Chinook salmon","Survey","Coast fall","8","Grays/Chinook Fall (Tule) Chinook","Grays & Chinook R.","1.1.1","Fall","Grays River","1972","674","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Chinook Natural Origin Spawner Abundance Dataset (1964-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCchinook2020","Salmon, Chinook (Lower Columbia River ESU)","Chinook salmon","Survey","Coast fall","8","Grays/Chinook Fall (Tule) Chinook","Grays & Chinook R.","1.1.1","Fall","Grays River","1973","503","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Chinook Natural Origin Spawner Abundance Dataset (1964-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
"LCchinook2020","Salmon, Chinook (Lower Columbia River ESU)","Chinook salmon","Survey","Coast fall","8","Grays/Chinook Fall (Tule) Chinook","Grays & Chinook R.","1.1.1","Fall","Grays River","1974","624","-99","-99","Washington Department of Fish and Wildlife","Mari Williams","Lower Columbia River Chinook Natural Origin Spawner Abundance Dataset (1964-2018). Spawner abundance data. Washington Department of Fish and Wildlife. Protocol and Methods available at https://fortress.wa.gov/dfw/score/score/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/PSMFC.",""
