ESU,MAJOR_POPULATION_GROUP,COMMON_POPULATION_NAME,SPECIES,RUN_TIMING,YEAR,NUMBER_OF_SPAWNERS,FRACWILD
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1964,364,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1965,75,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1966,108,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1967,100,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1968,132,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1969,86,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1970,72,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1971,933,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1972,830,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1973,242,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1974,156,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1975,296,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1976,528,-99
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1977,337,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1978,243,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1979,344,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1980,180,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1981,116,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1982,146,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1983,122,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1984,683,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1985,491,0.95
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1986,396,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1987,386,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1988,1890,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1989,2549,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1990,812,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1991,340,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1992,1247,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1993,890,1
Lower Columbia River Chinook Salmon ESU,Cascade,Coweeman River,Chinook,Fall-run,1994,1695,1
