"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","1994","1279","0.647","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","1995","681","0.648","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","1996","1637","0.648","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","1997","928","0.648","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","1998","1732","0.062","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","1999","2071","0.648","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","2000","3363","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","2001","3920","0.823","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","2002","9254","0.98","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","2003","10281","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","2004","5233","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"OCcoho2020","Salmon, coho (Oregon Coast ESU)","Coho salmon","Survey","Mid-Coast","153","Alsea River","Alsea R.","8","Fall","Alsea River","2005","13907","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Oregon Coast Coho Natural Origin Spawner Abundance Dataset (1994-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
