"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1984","45.10870753","0.944013467","","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1985","255.1979049","0.888026935","","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1986","224.2372159","0.832040402","179.295855","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1987","179.2275748","0.776053869","209.1285934","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1988","456","0.5","253.3561192","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1989","303.155764","0.5","161.4925067","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1990","10.03143545","0.5","6.94899944","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1991","108.2771593","0.5","53.62314729","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1992","498","0.5","230.2502423","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1993","445","0.5","254.3365293","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1994","45.11559059","0.5","28.63247238","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1995","230.1208856","0.713043478","136.3447024","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1996","535.1079323","0.388785047","173.1597388","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1997","617.8133936","0.11993517","72.66137234","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1998","370.9222717","0.1","23.9759199","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","1999","825.3214256","0.102065614","25.83585038","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2000","1242.801993","0.128824477","82.86806797","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2001","2185","0.120823799","104.6499857","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2002","3741","0.059877038","149.6524271","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2003","2857","0.073503675","115.5175763","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2004","1719","0.184991274","504.2314942","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2005","2047","0.102589155","551.3002445","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2006","1184","0.232263514","344.2393974","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2007","1438","0.232267038","622.7991163","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2008","1287.457263","0.242496051","850.4260622","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2009","1903","0.136626379","340.1466602","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2010","2050","0.090731707","253.2246245","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2011","865.8218177","0.114450867","223.791474","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2012","758","0.370712401","346.0499206","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2013","1350.359858","0.07423905","237.4584041","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2014","1400.229288","0.06509299","100.1739845","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2015","1717","0.233546884","263.3683427","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
"PSchinook2020","Puget Sound","Chinook","Survey","Strait of Georgia","41","North Fork Nooksack Chinook","NF Nooksack R.","1","spring","","2016","964","0.193983402","109.6989203","WDFW, Stillaguamish Tribe","Katie Barnes","Puget Sound Chinook Natural Origin Spawner Abundance (1984-2018). Spawner abundance data. Stillaguamish Tribe and Washington Department of Fish and Wildlife. Personal communication with Mindy Rowse 2020.",""
