"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"UWchinook2020","Salmon, Chinook (Upper Willamette River ESU)","Chinook salmon","Survey","Willamette","104","Clackamas River","Clackamas R.","2.3.1","Spring","Clackamas River","1974","549","0.326","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Chinook Natural Origin Spawner Abundance Dataset (1974-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"UWchinook2020","Salmon, Chinook (Upper Willamette River ESU)","Chinook salmon","Survey","Willamette","104","Clackamas River","Clackamas R.","2.3.1","Spring","Clackamas River","1975","442","0.326","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Chinook Natural Origin Spawner Abundance Dataset (1974-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"UWchinook2020","Salmon, Chinook (Upper Willamette River ESU)","Chinook salmon","Survey","Willamette","104","Clackamas River","Clackamas R.","2.3.1","Spring","Clackamas River","1976","528","0.326","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Chinook Natural Origin Spawner Abundance Dataset (1974-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"UWchinook2020","Salmon, Chinook (Upper Willamette River ESU)","Chinook salmon","Survey","Willamette","104","Clackamas River","Clackamas R.","2.3.1","Spring","Clackamas River","1977","531","0.326","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Chinook Natural Origin Spawner Abundance Dataset (1974-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"UWchinook2020","Salmon, Chinook (Upper Willamette River ESU)","Chinook salmon","Survey","Willamette","104","Clackamas River","Clackamas R.","2.3.1","Spring","Clackamas River","1978","508","0.326","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Chinook Natural Origin Spawner Abundance Dataset (1974-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"UWchinook2020","Salmon, Chinook (Upper Willamette River ESU)","Chinook salmon","Survey","Willamette","104","Clackamas River","Clackamas R.","2.3.1","Spring","Clackamas River","1979","722","0.326","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Chinook Natural Origin Spawner Abundance Dataset (1974-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"UWchinook2020","Salmon, Chinook (Upper Willamette River ESU)","Chinook salmon","Survey","Willamette","104","Clackamas River","Clackamas R.","2.3.1","Spring","Clackamas River","1980","2589","0.326","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Chinook Natural Origin Spawner Abundance Dataset (1974-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"UWchinook2020","Salmon, Chinook (Upper Willamette River ESU)","Chinook salmon","Survey","Willamette","104","Clackamas River","Clackamas R.","2.3.1","Spring","Clackamas River","1981","3642","0.326","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Chinook Natural Origin Spawner Abundance Dataset (1974-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"UWchinook2020","Salmon, Chinook (Upper Willamette River ESU)","Chinook salmon","Survey","Willamette","104","Clackamas River","Clackamas R.","2.3.1","Spring","Clackamas River","1982","3550","0.326","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Chinook Natural Origin Spawner Abundance Dataset (1974-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
"UWchinook2020","Salmon, Chinook (Upper Willamette River ESU)","Chinook salmon","Survey","Willamette","104","Clackamas River","Clackamas R.","2.3.1","Spring","Clackamas River","1983","3170","0.326","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Chinook Natural Origin Spawner Abundance Dataset (1974-2018). Spawner abundance data. Oregon Department of Fish and Wildlife. Protocol and Methods available at http://odfwrecoverytracker.org/metadata/. Accessed from www.cax.streamnet.org vers May 26 2020 10:00PM by Mari Williams, NOAAF NWFSC/OAI.",""
