"SERIES","ESU","SPECIES","METHOD","MAJOR_POPULATION_GROUP","NMFS_POPID","POPULATION_NAME","COMMON_POPULATION_NAME","DISPLAY_ORDER","RUN_TIMING","STREAM_NAME","YEAR","NUMBER_OF_SPAWNERS","FRACWILD","CATCH","CONTRIBUTOR","COMPILER","CITATION","LINE_NOTES"
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1971","26647","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1972","23257","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1973","17900","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1974","14824","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1975","6130","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1976","9398","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1977","13604","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1978","16869","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1979","8726","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1980","22356","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1981","16666","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1982","13011","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1983","9298","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1984","17384","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1985","20592","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1986","21251","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1987","16765","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1988","23378","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1989","9572","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1990","11107","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1991","4943","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1992","5396","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1993","3568","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1994","5300","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1995","4693","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1996","1801","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1997","4544","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1998","3678","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","1999","6904","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","2000","4761","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","2001","12525","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","2002","17998","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
"UWsthd2020","Steelhead (Upper Willamette River DPS)","steelhead","LadderCount","","1053","Willamette Falls ESC","Willamette Falls ESC","1.1","winter","Willamette River and tributaries","2003","9092","1","-99","Oregon Department of Fish and Wildlife","Mari Williams","Upper Willamette River Steelhead Natural Origin Spawner Escapement (1971-2019). Ladder count. Personal communication from Jamie Anthony, ODFW, via Mari Williams, NOAAF NWFSC/PSMFC.",""
